Move,Type,Purpose,Method,Notes,Assigned To Prospects
Nachas communication about their child/grandchild,Feel Good,Cultivation,"Phone,Email,Text / WhatsApp,Handwritten Note,Video",,
Personally bring a gift for a special occasion,Feel Good,Cultivation,In Person,,
Send Cheescake For Shavuos,"Feel Good,Date or Milestone Based",Cultivation,"In Person,Mail",,
pre,,,,,
,,,,,
,,,,,
,,,,,
Mention them by the Ohel,Feel Good,Stewardship,,,
"Acknowledge a Birthday, anniversary, yartzeit, or milestone","Feel Good,Date or Milestone Based",Cultivation,"Phone,Text / WhatsApp,Handwritten Note",,"""Acknowledge a Birthday, anniversary, yartzeit, or milestone"""
Good Shabbos / Yom Tov call ,Feel Good,Cultivation,"Phone,Text / WhatsApp",,Good Shabbos / Yom Tov call 
Personal call / text / email thanking a donor,"Feel Good,Thank You",Stewardship,"Phone,Email,Text / WhatsApp",,Personal call / text / email thanking a donor
Send Chanukah Gelt / Gift / Candles,"Feel Good,Date or Milestone Based,Thank You",Cultivation,"In Person,Mail",,Send Chanukah Gelt / Gift / Candles
Send Honey or Gift for Rosh Hashana,"Feel Good,Date or Milestone Based",Cultivation,"In Person,Mail",,Send Honey or Gift for Rosh Hashana
Send pictures of the donor’s child/grandchild.,Feel Good,Cultivation,"Email,Text / WhatsApp,Mail","- “catch” the student doing something nice
- Have student pose with rebbi or friends",Send pictures of the donor’s child/grandchild.
Send Shaloch Manos for Purim,"Feel Good,Date or Milestone Based",Cultivation,"In Person,Mail",,Send Shaloch Manos for Purim
